				91.79%									
Date	Tier	Finish Wave	Max Wave	Percentage	Earned Coins	Ad Coins	Total Coins (B)	Time (minutes)	Minutes/Billion	Event Kills	Progress	Kills/Game	Games Left
													
2025-06-23	9	3493	3780	92.41%	4.37	2.19	6.56	314.88	48.0				
2025-06-24	9	3157	3780	83.52%	7.24	3.62	10.86	284.05	26.2				
2025-06-24	9	3757	3780	99.39%	5.95	2.98	8.93	339.02	38.0				
2025-06-25	8	3652	4984	73.27%	4.67	2.34	7.01	329.50	47.0				
2025-06-25	-8	990			0.79964	0.39976	1.1994	87.70	73.1				
2025-06-25	9	3394	3780	89.79%	6.82	3.41	10.23	305.47	29.9				
2025-06-25	9	3417	3780	90.40%	4.07	2.04	6.11	306.32	50.1				
2025-06-26	10	2959	3343	88.51%	4.92	2.46	7.38	265.18	35.9				
2025-06-26	10	2574	3343	77.00%	3.39	1.69	5.08	230.15	45.3				
2025-06-26	10	3089	3343	92.40%	4.68	2.34	7.02	277.30	39.5				
2025-06-26	10	3281	3343	98.15%	4.49	2.25	6.74	355.38	52.7				
2025-06-27	10	2650	3343	79.27%	3.51	1.76	5.27	238.03	45.2				
2025-06-27	-8	1991			0.74708	0.37348	1.12056	89.72	80.1				
2025-06-28	7	4560	5613	81.24%	5.04	2.52	7.56	413.08	54.6				
2025-06-28	10	2749	3343	82.23%	3.41	1.7	5.11	246.75	48.3				
2025-06-28	9	3577	3780	94.63%	4.85	2.43	7.28	323.33	44.4				
2025-06-28	11	1536	1736	88.48%	1.63	0.81627	2.44627	138.25	56.5				
2025-06-29	7	4642	5613	82.70%	6.38	3.19	9.57	420.02	43.9				
2025-06-29	10	2657	3343	79.48%	4.07	2.03	6.1	237.30	38.9				
2025-06-29	10	3121	3343	93.36%	5.31	2.66	7.97	281.62	35.3				
2025-06-30	10	3076	3343	92.01%	5.17	2.58	7.75	274.78	35.5				
2025-06-30	10	2908	3343	86.99%	4.81	2.41	7.22	259.98	36.0				
2025-06-30	10	2863	3343	85.64%	3.69	1.84	5.53	256.67	46.4				
2025-07-01	10	2739	3343	81.93%	3.26	1.63	4.89	245.08	50.1				
2025-07-01	11	1547	1736	89.11%	1.96	0.9822	2.9422	136.52	46.4				
2025-07-01	11	1600	1736	92.17%	1.78	0.89233	2.67233	141.78	53.1				
2025-07-02	9	3190	3780	84.39%	4.18	2.09	6.27	286.78	45.7				
2025-07-02	11	1674	1736	96.43%	2.09	1.05	3.14	148.15	47.2				
2025-07-03	9	3272	3780	86.56%	4.14	2.07	6.21	294.10	47.4				
2025-07-03	11	1770	1736	101.96%	2.27	1.14	3.41	157.18	46.1				
2025-07-03	11	1760	1770	99.44%	2.56	1.28	3.84	155.50	40.5				
2025-07-03	11	1769	1770	99.94%	1.91	0.9568	2.8668	155.70	54.3				
2025-07-03	11	1883	1770	106.38%	2.09	1.04	3.13	166.17	53.1				
2025-07-03	11	1815	1883	96.39%	1.61	0.80453	2.41453	160.58	66.5				
2025-07-04	9	4002	3780	105.87%	6.68	3.34	10.02	362.72	36.2				
2025-07-04	11	1888	1883	100.27%	2.27	1.13	3.4	167.90	49.4				
2025-07-04	10	2970	3343	88.84%	3.98	1.99	5.97	267.27	44.8				
2025-07-04	-8	878			0.94157	0.47072	1.41229	77.43	54.8				
2025-07-05	10	3315	3343	99.16%	5.33	2.67	8	298.52	37.3				
2025-07-05	9	3684	4002	92.05%	5.4	2.7	8.1	332.43	41.0				
2025-07-06	9	3863	4002	96.53%	6.45	3.22	9.67	349.28	36.1				
2025-07-06	12	625	585	106.84%	0.52642	0.26317	0.78959	51.58	65.3				
2025-07-06	12	698	625	111.68%	0.57062	0.28527	0.85589	58.95	68.9				
2025-07-06	12	541	698	77.51%	0.3667	0.18332	0.55002	43.97	79.9				
2025-07-06	11	1846	1955	94.42%	2.1	1.05	3.15	166.03	52.7				
2025-07-06	11	1769	1955	90.49%	1.75	0.87443	2.62443	155.60	59.3				
2025-07-07	9	3695	4002	92.33%	5.39	2.7	8.09	333.87	41.3				
2025-07-07	12	598	698	85.67%	0.43894	0.21944	0.65838	49.02	74.5				
2025-07-07	12	642	698	91.98%	0.58653	0.29322	0.87975	53.28	60.6				
2025-07-07	12	616	698	88.25%	0.52477	0.26235	0.78712	49.77	63.2				
2025-07-07	12	659	698	94.41%	0.49544	0.24768	0.74312	54.23	73.0				
